animeTitle	b'Mahou no Tenshi Creamy Mami'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	2782
animeRank	
animePopularity	
animeDescription	b'Creamy Mami is about a young girl, Yuu, who after seeing a spaceship is given the power to use magic for one year. She is also given 2 cats, Poji and Nega, to watch over and guide her. Using her magic powers to transform into the idol Creamy Mami, Yuu must work hard at acting, singing, helping her parents at their crepe shop, fighting aliens and bad guys, going to school, plus try to get the affections of her childhood friend Toshio.\n\n(Source: ANN)'
animeRelated	[b'Mahou no Tenshi Creamy Mami', b'Mahou no Tenshi Creamy Mami: Eien no Once More', b'Majokko Club Yoningumi: A Kuukan kara no Alien X', b'Adesugata Mahou no Sannin Musume', b'Mahou no Tenshi Creamy Mami: Lovely Serenade', b'Mahou no Tenshi Creamy Mami no Otogibanashi', b'Pony Metal U-GAIM Promotion Film']
animeCharacters	[b'Morisawa, Yuu', b'Nega', b'Ootomo, Toshio', b'Posi', b'Kidokoro, Hayato', b'Ayase, Megumi', b'Tachibana, Shingo', b'Kisaragi, Midori']
animeVoices	[b'\nOota, Takako\nJapanese\n', b'\nKimotsuki, Kaneta\nJapanese\n', b'\nMizushima, Yuu\nJapanese\n', b'\nMita, Yuuko\nJapanese\n', b'\nKameyama, Sukekiyo\nJapanese\n', b'\nShimazu, Saeko\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nAnzai, Masahiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Osamu\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nMochizuki, Tomomi\n\nEpisode Director\n\n', b'\nAnnou, Takashi\n\nEpisode Director, Storyboard\n\n']
