animeTitle	Ganbare Genki
animeType	TV
animeNumEpisode	35
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	458
animeRank	
animePopularity	9349
animeDescription	"Horiguchi Genki was 5 years old boy. His mother died when he was born, and he was raised only by his father. His father, Shark Horiguchi, was a professional boxer, but he was ruined and become an itinerant boxer. However, Genki believed his father was strong and he would become a champion, and he had a dream to become a strong boxer as his father. 
After his father’s death, he was adopted by his grandparents. Although they opposed Genki boxing, Genki made up his mind to become a boxer, and he continued training secretly. Meeting with various people, for example, Teacher Ashikiwa who resembles his mother, Mishima who is a high school boxing champion, he made his way to be a boxer. 

(Source: AnimeNfo)"
animeRelated	['Ganbare Genki']
animeCharacters	['Horiguchi, Genki', 'Horiguchi, Hideki', 'Ashikawa, Yuuko', 'Ishida, Tomoko', 'Tanuma, Aiko', 'Tanuma, Kisaburou']
animeVoices	['Fujita, Toshiko', 'Inoue, Makio', 'Sugiyama, Kazuko', 'Han, Keiko', 'Sakai, Sumie', 'Nagai, Ichiro']
animeStaff	"[['Rintaro', 'Director, Episode Director'], ['Ozeki, Masayuki', 'Episode Director'], ['Ooseki, Masayuki', 'Episode Director'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance']]"
