animeTitle	b'Manga Nihon Emaki'
animeType	b'TV'
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Animated adaptations of traditional and historical Japanese stories. Each episode features 2 different stories. \n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Narrator']
animeVoices	[b'\nSakai, Frankie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Noboru\n\nDirector\n\n', b'\nTashiro, Junji\n\nScript\n\n', b'\nFukuda, Gen\n\nStoryboard, Animation Director\n\n', b'\nTsunoda, Toshitaka\n\nStoryboard\n\n']
