animeTitle	Yonhyaku-nijuu Renpai Girl
animeType	ONA
animeNumEpisode	1
releaseDate	2013-01-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	1853
animeRank	
animePopularity	6929
animeDescription	Promotion video for Naruto Kiriyama's light novel Yonhyakunijuu Renpai Girl, commissioned by Enterbrain after Kiriyama won the 14th Entertainment Awards Grand Prize (Entame Taishou) from the publisher's light novel department.
animeRelated	['Yonhyakunijuu Renpai Girl']
animeCharacters	['Dokuutsugi, Miyako', 'Tsuwabuki, Haru']
animeVoices	['Amamiya, Sora', 'Eguchi, Takuya']
animeStaff	[['Ootsuka, Masahiko', 'Director'], ['Hayashi, Yuuichirou', 'Storyboard'], ['Yashima, Sachiko', 'Animation Director']]
