animeTitle	Shin Atashin'chi
animeType	TV
animeNumEpisode	26
releaseDate	2015-10-06 00:00:00
endDate	2016-04-05 00:00:00
animeNumMembers	
animeScore	7.2
animeUsers	1050
animeRank	
animePopularity	8541
animeDescription	"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuusuke and Mikan. Wacky humor about this weird family's daily life.

(Source: AniDB)"
animeRelated	"[""Atashin'chi""]"
animeCharacters	['Tachibana, Mother', 'Tachibana, Yuzuhiko', 'Tachibana, Mikan', 'Tachibana, Father', 'Yoshioka', 'Toyama', 'Nasuo', 'Yamashita', 'Mizushima', 'Iwaki']
animeVoices	['Watanabe, Kumiko', 'Sakaguchi, Daisuke', 'Orikasa, Fumiko', 'Ogata, Kenichi', 'Numata, Yusuke', 'Tamagawa, Sakiko', 'Otsuka, Mizue', 'Aikawa, Rikako', 'Midorikawa, Hikaru']
animeStaff	[['Ogura, Hirofumi', 'Director'], ['Orikasa, Fumiko', 'Theme Song Performance'], ['Sakaguchi, Daisuke', 'Theme Song Performance'], ['Watanabe, Kumiko', 'Theme Song Performance']]
