animeTitle	b'Mini Van Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	284
animeRank	
animePopularity	
animeDescription	b'A special episode released with the first DVD volume of Mini Vanguard.'
animeRelated	[b'Mini Van']
animeCharacters	[b'Kai, Toshiki', b'Sendou, Emi', b'Sendou, Aichi', b'Katsuragi, Kamui', b'Morikawa, Katsumi']
animeVoices	[b'\nSatou, Takuya\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nYonaga, Tsubasa\nJapanese\n', b'\nIshikawa, Shizuka\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n']
animeStaff	[]
