animeTitle	Soukyuu no Fafner: Dead Aggressor - The Beyond
animeType	Movie
animeNumEpisode	3
releaseDate	2019-05-17 00:00:00
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	650
animeRank	
animePopularity	6430
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Soukyuu no Fafner: Dead Aggressor', 'Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season', 'Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2']
animeCharacters	['Minashiro, Soushi', 'Toomi, Maya', 'Makabe, Kazuki', 'Kasugai, Kouyou', 'Kurusu, Misao', 'Kaname, Sakura', 'Mikagami, Mimika', 'Makabe, Fumihiko', 'Ghose, Anila Aurobindo', 'Mikado, Reo']
animeVoices	[]
animeStaff	[['Noto, Takashi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Ubukata, Tow', 'Script, Series Composition'], ['angela', 'Theme Song Performance']]
