animeTitle	Zonmi-chan: Halloween☆Special Movie!
animeType	ONA
animeNumEpisode	1
releaseDate	2015-10-26 00:00:00
endDate	
animeNumMembers	906
animeScore	4.47
animeUsers	439
animeRank	11857
animePopularity	11410
animeDescription	A Halloween special starring Zonmi-chan. A soldier is being chased by several Zonmi-chan zombies. He shoots at them but is ultimately caught.
animeRelated	['Zonmi-chan: Meat Pie of the Dead']
animeCharacters	['Dai-kun', 'Zonmi-chan']
animeVoices	[]
animeStaff	[]
