animeTitle	b'Ai Yori Aoshi: Yumegatari'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	4505
animeRank	
animePopularity	
animeDescription	b'Kaoru and the girls have a picnic in Spring and talk about their dreams for the future.'
animeRelated	[b'Ai Yori Aoshi']
animeCharacters	[b'Sakuraba, Aoi', b'Hanabishi, Kaoru']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFumizuki, Kou\n\nOriginal Creator\n\n']
