animeTitle	b'Nameko: Sekai no Tomodachi'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Nameko Forest gathers nameko from all over the world. They form the Nameko Universal Ranger (NUR) to convey the charm of the forest. It's an everyday life of inviting new nameko with unique personalities to the forests. What incident will happen today?"""
animeRelated	[b'Nameko-ke no Ichizoku']
animeCharacters	[b'Nameko', b'Robo Nameko', b'Nameko-senpai', b'Love Nameko', b'Pero']
animeVoices	[b'\nFukuhara, Haruka\nJapanese\n', b'\nMiyata, Kouki\nJapanese\n', b'\nKawamoto, Kunihiro\nJapanese\n', b'\nTanezaki, Atsumi\nJapanese\n', b'\nIizuka, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Hiroshi\n\nDirector\n\n', b'\nTakahashi, Natsuko\n\nSeries Composition\n\n', b'\nKawai, Shingo\n\nCharacter Design\n\n']
