animeTitle	b'BanG Dream! 3rd Season'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	8.05
animeUsers	11000
animeRank	
animePopularity	
animeDescription	"b'As the all-girl band Poppin\xe2\x80\x99Party continues to rise in fame, they find a poster for an event at the legendary Nippon Budoukan. Now determined to participate in the ""BanG Dream,"" Kasumi Toyama and the other members of Poppin\xe2\x80\x99Party aim to reach new heights and prove their worth by performing on that renowned stage.\n\nMeanwhile, rival band RAISE A SUILEN dreams of changing the world with ""the strongest music,"" but finds itself in dire straits without a guitarist. Though dozens of potential candidates audition for the role, band leader CHU\xc2\xb2 believes them to be amateurs and unsuitable for the band. However, there may be one guitarist that lives up to CHU\xc2\xb2\xe2\x80\x99s high standards.\n\nBanG Dream! 3rd Season features multiple all-girl bands, including Poppin\xe2\x80\x99Party, Afterglow, Pastel*Palettes, Roselia, Hello Happy World!, and now RAISE A SUILEN, as they work to astound fans throughout Japan with their spectacular performances. As the BanG Dream competition draws near, the band members are prepared to captivate audiences with their heartfelt music!\n\n[Written by MAL Rewrite]'"
animeRelated	[b'BanG Dream! 2nd Season', b'BanG Dream! Film Live 2nd Stage']
animeCharacters	[b'Minato, Yukina', b'Aoba, Moca', b'Ichigaya, Arisa', b'Toyama, Kasumi', b'Imai, Lisa', b'Hikawa, Sayo', b'Shirokane, Rinko', b'Yamabuki, Saaya', b'Hanazono, Tae', b'Maruyama, Aya']
animeVoices	[b'\nAiba, Aina\nJapanese\n', b'\nMisawa, Sachika\nJapanese\n', b'\nItou, Ayasa\nJapanese\n', b'\nTerakawa, Aimi\nJapanese\n', b'\nNakashima, Yuki\nJapanese\n', b'\nKudou, Haruka\nJapanese\n', b'\nShizaki, Kanon\nJapanese\n', b'\nOhashi, Ayaka\nJapanese\n', b'\nOotsuka, Sae\nJapanese\n', b'\nMaeshima, Ami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKakimoto, Koudai\n\nDirector\n\n', b'\nChanohara, Takuya\n\nEpisode Director, Storyboard, Animation Director, Character Design\n\n', b'\nMajima, Takahiro\n\nEpisode Director\n\n', b'\nRoselia\n\nTheme Song Performance, Inserted Song Performance\n\n']
