animeTitle	Zombie-Loan Specials
animeType	Special
animeNumEpisode	2
releaseDate	2008-04-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	14444
animeRank	
animePopularity	3451
animeDescription	The series was originally planned to be 20+ episodes but was cut short due to unknown circumstances. These specials released on the 7th DVD volume continue the story.
animeRelated	['Zombie-Loan']
animeCharacters	['Akatsuki, Chika', 'Tachibana, Shito', 'Kita, Michiru', 'Zarame', 'Yuuta', 'Yoimachi, Koyomi', 'Shiba, Reiichirou', 'Bekkou', 'Lyca', 'Asou, Sotetsu']
animeVoices	['Suzumura, Kenichi', 'Sakurai, Takahiro', 'Kuwashima, Houko', 'Saitou, Chiwa', 'Suwabe, Junichi', 'Morikawa, Toshiyuki', 'Kakihara, Tetsuya', 'Itou, Kentarou']
animeStaff	[['Sawano, Hiroyuki', 'Music'], ['PEACH‐PIT', 'Original Creator']]
