animeTitle	Session High⤴
animeType	Music
animeNumEpisode	1
releaseDate	2017-10-16 00:00:00
endDate	
animeNumMembers	929
animeScore	5.64
animeUsers	491
animeRank	9950
animePopularity	11343
animeDescription	"Official music video for the song Session High⤴ by the fictional band Irodorimidori. It is the 20th song in the franchise.
"
animeRelated	['Still', 'Sousha wa Tada Senaka to Teikin de Kataru Nomi']
animeCharacters	['Tsukisuzu, Nachi']
animeVoices	[]
animeStaff	[]
