animeTitle	Yes! BanG_Dream!
animeType	Music
animeNumEpisode	1
releaseDate	2016-02-24 00:00:00
endDate	
animeNumMembers	3187
animeScore	6.59
animeUsers	1344
animeRank	5646
animePopularity	8228
animeDescription	"Animated music video for ""Yes! BanG_Dream!"", the debut single of Bushiroad's BanG Dream! project band Poppin' Party."
animeRelated	['BanG Dream!', 'Star Beat!: Hoshi no Kodou', 'Hashiri Hajimeta bakari no Kimi ni']
animeCharacters	['Ichigaya, Arisa', 'Toyama, Kasumi', 'Yamabuki, Saaya', 'Hanazono, Tae', 'Ushigome, Rimi']
animeVoices	['Itou, Ayasa', 'Terakawa, Aimi', 'Ohashi, Ayaka', 'Ootsuka, Sae', 'Nishimoto, Rimi']
animeStaff	[['Ootsuki, Atsushi', 'Director, Episode Director, Storyboard'], ['Nakano, Tsuyoshi', 'Episode Director, Storyboard'], ['Agematsu, Noriyasu', 'Theme Song Composition, Music'], ['Nakamura, Kou', 'Theme Song Lyrics, Original Creator']]
