animeTitle	b'Kogepan'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	3025
animeRank	
animePopularity	
animeDescription	"b""An accident in the bakery's oven caused a piece of bread to stay in the oven for way too long. Thus Kogepan was born - a piece of burnt bread, having no chance to be sold.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Kogepan', b'Sumipan', b'Kireipan', b'Kuriimupan', b'Ichigopan']
animeVoices	[b'\nMayama, Ako\nJapanese\n', b'\nKujira\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Takashi\n\nProducer\n\n', b'\nNunokawa, Yuuji\n\nProducer\n\n', b'\nYasuda, Takeshi\n\nMusic\n\n']
