animeTitle	Huan Jie Wang
animeType	ONA
animeNumEpisode	20
releaseDate	2018-05-30 00:00:00
endDate	2018-10-17 00:00:00
animeNumMembers	3270
animeScore	6.61
animeUsers	822
animeRank	5568
animePopularity	8175
animeDescription	In the world where most of the humans of the Eudemon continent have power of Eudemon (spiritual power), the protagonist is born without spiritual power, his dream is to be the next king of Eudemon. But without having any spiritual power can you fulfill your dream? On a day before the Tian Wu exam, he crosses a spy from the Mo Wu side that was defeated in the great war of 10 years ago. This girl infiltrates the forces of Tian Wu and thus the protagonist was involved in the middle of the fight between the forces Tian Wu and Mo Wu.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
