animeTitle	Goku Sayonara Zetsubou Sensei
animeType	OVA
animeNumEpisode	3
releaseDate	2008-10-17 00:00:00
endDate	2009-02-17 00:00:00
animeNumMembers	59564
animeScore	7.84
animeUsers	28352
animeRank	776
animePopularity	2263
animeDescription	Sayonara Zetsubou Sensei OVA.
animeRelated	['Sayonara Zetsubou Sensei', 'Zoku Sayonara Zetsubou Sensei', 'Zan Sayonara Zetsubou Sensei']
animeCharacters	['Itoshiki, Nozomu', 'Fuura, Kafuka', 'Kitsu, Chiri', 'Komori, Kiri', 'Tsunetsuki, Matoi', 'Hitou, Nami', 'Sekiutsu, Tarou', 'Fujiyoshi, Harumi', 'Otonashi, Meru', 'Kobushi, Abiru']
animeVoices	['Kamiya, Hiroshi', 'Nonaka, Ai', 'Inoue, Marina', 'Tanii, Asuka', 'Sanada, Asami', 'Shintani, Ryouko', 'Sawashiro, Miyuki', 'Matsuki, Miyu', 'Saitou, Chiwa', 'Gotou, Yuuko']
animeStaff	[['Kubota, Mitsutoshi', 'Producer'], ['Miyamoto, Junnosuke', 'Assistant Producer'], ['Shinbou, Akiyuki', 'Director'], ['Miyamoto, Yukihiro', 'Director, Episode Director, Storyboard']]
