animeTitle	Nintama Rantarou: Dokutake Onsen no Dan
animeType	Special
animeNumEpisode	1
releaseDate	2007-05-04 00:00:00
endDate	
animeNumMembers	303
animeScore	
animeUsers	
animeRank	12409
animePopularity	14566
animeDescription	The Lord of Maitake Castle asks the Ninjutsu Academy Headmaster to accompany him when he sneaks out incognito to visit a dango shop, and Rantarou, Kirimaru and Shinbei tag along for the trip as well. However, it turns out that the shop is actually a Dokutake Castle trap, and they're not the only ones who have been caught.
animeRelated	['Nintama Rantarou']
animeCharacters	['Settsuno, Kirimaru', 'Fukutomi, Shinbei', 'Inadera, Rantarou', 'Doi, Hansuke', 'Yamada, Rikichi', 'HemuHemu', 'Tairano, Takiyashamaru', 'Shibuki', 'Fuuki', 'Yamabuki']
animeVoices	['Tanaka, Mayumi', 'Ichiryuusai, Teiyuu', 'Takayama, Minami', 'Seki, Toshihiko', 'Okano, Kousuke', 'Shimada, Bin', 'Takagi, Wataru', 'Shimakata, Junko', 'Ootomo, Ryuuzaburou', 'Mitsuishi, Kotono']
animeStaff	[['Shibayama, Tsutomu', 'Director, Storyboard'], ['Urasawa, Yoshio', 'Script'], ['Makaino, Kouji', 'Music'], ['Fujimori, Masaya', 'Character Design']]
