animeTitle	Sora Iro Hana Iro
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16132
animeDescription	"A woman and a dog go on a spiritual journey and undergo a spiritual transformation while wandering in a forest side-by-side.

Sora Iro Hana Iro is not a straight-forward narrative story, but rather series of subjective impressions to tell us more about the state of mind of the female protagonist.

(Source: Nishikata Film Review) 

"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
