animeTitle	Overlord IV
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	1383
animeDescription	Fourth season of Overlord.
animeRelated	['Overlord', 'Overlord III', 'Overlord Movie 3: Sei Oukoku-hen', 'Overlord: Ple Ple Pleiades 4']
animeCharacters	['Momonga', 'Albedo', 'Bloodfallen, Shalltear', 'Demiurge', 'Fiore, Mare Bello', 'Fiora, Aura Bella', 'Cocytus']
animeVoices	['Hino, Satoshi', 'Hara, Yumi', 'Uesaka, Sumire', 'Katou, Masayuki', 'Uchiyama, Yumi', 'Katou, Emiri', 'Miyake, Kenta']
animeStaff	[['Itou, Naoyuki', 'Director'], ['Sugawara, Yukie', 'Script, Series Composition'], ['Maruyama, Kugane', 'Original Creator'], ['so-bin', 'Original Character Design']]
