animeTitle	Kore wa Zombie Desu ka? of the Dead
animeType	TV
animeNumEpisode	10
releaseDate	2012-04-05 00:00:00
endDate	2012-06-07 00:00:00
animeNumMembers	
animeScore	7.53
animeUsers	197920
animeRank	
animePopularity	486
animeDescription	"Aikawa Ayumu was revived as a zombie by the cute necromancer Eucliwood Hellscythe. After the zany, madcap adventures in the first season of Is This a Zombie? ended, Ayumu thought his life might finally get back to normal, or as normal as it can be for a zombie. However, destiny has other plans for him. Some guys just can't catch a break. 

(Source: FUNimation) "
animeRelated	['Kore wa Zombie desu ka?', 'Kore wa Zombie Desu ka? OVA', 'Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu']
animeCharacters	['Hellscythe, Eucliwood', 'Aikawa, Ayumu', 'Seraphim', 'Yoshida, Yuki', 'Haruna', 'Sarasvati', 'Chris', 'Hiramatsu, Taeko', 'Ariel', 'Kyoko']
animeVoices	['Horie, Yui', 'Majima, Junji', 'Hikasa, Youko', 'Kanemoto, Hisako', 'Nomizu, Iori', 'Kitaoka, Chiharu', 'Nabatame, Hitomi', 'Yamaguchi, Rie', 'Shimizu, Ai', 'Shitaya, Noriko']
animeStaff	[['Kanasaki, Takaomi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Sekine, Satoko', 'Script']]
