animeTitle	Tokubetsu Jugyou 2
animeType	OVA
animeNumEpisode	2
releaseDate	2003-06-13 00:00:00
endDate	2003-10-10 00:00:00
animeNumMembers	
animeScore	5.67
animeUsers	660
animeRank	
animePopularity	9047
animeDescription	"The College of Sacred Maidens is bubbling over with sexy young ladies perfectly suited for Tomoya's lusts. So, when he crosses paths with a new student professor for the college, he's not about to let his chance pass by - he wastes no time drugging the guy, and taking his place. Now this dangerous sex fiend is surrounded by beautiful, buxom women... and he's already got a lot of ""assignments"" planned for them.

The innocent cheerleader Yumi... the fiery swim girl Seira... even Asuka, the ravishing actress. One by one, he'll collect them all as his pets, eager sex slaves who'll fill his every burning desire. But the girls won't take it lying down, so to speak. What will it take for Tomoya to twist his way into the deepest parts of their hearts, minds, and luscious, energetic bodies?"
animeRelated	['Tokubetsu Jugyou 2', 'Tokubetsu Jugyou', 'Tokubetsu Jugyou 3 SLG The Animation']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
