animeTitle	Bazar dé Gozarre
animeType	Special
animeNumEpisode	33
releaseDate	1991-11-01 00:00:00
endDate	2003-11-01 00:00:00
animeNumMembers	206
animeScore	
animeUsers	
animeRank	14964
animePopularity	15979
animeDescription	A commercial campaign by NEC to sell various goods with a monkey mascot named Bazar. Each commercial essentially has Bazar trying to go to the NEC store to buy a specific good (that the commercial is selling) but failing along the way. The commercials are narrated in puns and tongue twisters.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
