animeTitle	Nanbaka
animeType	TV
animeNumEpisode	13
releaseDate	2016-10-05 00:00:00
endDate	2016-12-28 00:00:00
animeNumMembers	
animeScore	7.34
animeUsers	113466
animeRank	
animePopularity	635
animeDescription	"Nanba is the world's most formidable prison, built to incarcerate criminals who are too slippery to stay in ordinary confinement. The four inmates who occupy Cell 13 are particularly cunning on that behalf, having escaped every other prison with a perfect success rate. There is Juugo, a specialist in locks who has spent the majority of his life in prison; Uno, a gambler with great intuition; Nico, an otaku whose body reacts strangely to drugs; and Rock, a bruiser with a love for food. The daily shenanigans of the four prisoners always cause trouble for the building supervisor, Hajime Sugoroku, who desperately tries to prevent them from breaking out of Nanba.

Nanbaka follows the comedic, sparkle-filled exploits of these prisoners and their guards. From three square meals a day to sports festivals, prison life in Nanba isn't actually that bad—and it is the closest these four have to a home.

[Written by MAL Rewrite]
"
animeRelated	['Nanbaka', 'Nanbaka 2', 'Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!']
animeCharacters	['Juugo', 'Nico', 'Uno', 'Sugoroku, Hajime', 'Rock', 'Hyakushiki, Momoko', 'Gokuu, Samon', 'Hitokoe, Mitsuru', 'Tanabata, Seitarou', 'Tsukumo']
animeVoices	['Uemura, Yuuto', 'Kobayashi, Daiki', 'Kakihara, Tetsuya', 'Seki, Tomokazu', 'Shiozaki, Ire', 'Akesaka, Satomi', 'Hoshi, Souichirou', 'Tsuda, Kenjirou', 'Okuyama, Keito', 'Toyonaga, Toshiyuki']
animeStaff	[['Takamatsu, Shinji', 'Director'], ['Dismuke, Aaron', 'Script, ADR Director'], ['Tsubota, Fumi', 'Script'], ['Seki, Tomokazu', 'Theme Song Performance']]
