animeTitle	Kaze to Tomoni
animeType	Music
animeNumEpisode	1
releaseDate	2017-06-01 00:00:00
endDate	
animeNumMembers	160
animeScore	
animeUsers	
animeRank	16652
animePopularity	16783
animeDescription	Music video for the song Kaze to Tomoni by Japanese rock band Elephant Kashimashi that was featured on NHK's Minna no Uta program. The song was released as the title track for the band's 49th single on July 26, 2017, which included a DVD with the music video. It was animated by Kunio Katou.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
