animeTitle	Nekopara: Koneko no Hi no Yakusoku
animeType	ONA
animeNumEpisode	1
releaseDate	2018-07-27 00:00:00
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	12206
animeRank	
animePopularity	3407
animeDescription	"Six months before the opening of the patisserie La Soleil, Chocola and Vanilla are still kittens trying to fit into the Minazuki household. As the two youngest catgirls under Kashou and Shigure's care, the two learn from and mature alongside four other catgirls⁠—Azuki, Maple, Cinnamon, and Coconut⁠⁠. Soon, they approach their first Christmas together as a family.

[Written by MAL Rewrite]
"
animeRelated	['Nekopara OVA']
animeCharacters	['Vanilla', 'Chocola', 'Minazuki, Kashou', 'Coconut', 'Cinnamon', 'Maple', 'Azuki', 'Minazuki, Shigure']
animeVoices	['Inokuchi, Yuka', 'Tomonaga, Maki', 'Tachibana, Shinnosuke', 'Tateishi, Megumi', 'Okajima, Tae', 'Ogura, Yui', 'Naruse, Mia', 'Nagai, Mai']
animeStaff	[['Luce Twinkle Wink☆', 'Theme Song Performance'], ['Sayori', 'Original Character Design'], ['Kamogawa, Takahiro', 'Key Animation'], ['Shiraishi, Yuika', 'Sound Effects']]
