animeTitle	Mobile Suit Gundam-san
animeType	TV
animeNumEpisode	13
releaseDate	2014-07-06 00:00:00
endDate	2014-09-28 00:00:00
animeNumMembers	
animeScore	6.19
animeUsers	3078
animeRank	
animePopularity	6229
animeDescription	Anime adaptation of the 4-koma manga Mobile Suit Gundam-san.
animeRelated	['Kidou Senshi Gundam-san', 'Mobile Suit Gundam', 'Mobile Suit Gundam-san (Movie)', 'Kotowaza Gundam-san (ONA)', 'Mobile Suit Gundam-san (ONA)', 'Mobile Suit Gundam-san: Hiyoko Days ― Suisei Hiyoko to Fushigi na Ofuda']
animeCharacters	['Aznable, Char', 'Tomino, Yoshiyuki', 'Ray, Amuro', 'Noa, Bright', 'Haro', 'Mass, Sayla', 'Shiden, Kai', 'Zabi, Garma', 'Sune, Lalah', 'Zabi, Kycilia']
animeVoices	['Konishi, Katsuyuki', 'Yonaga, Tsubasa', 'Okiayu, Ryoutarou', 'Matsuyama, Takashi', 'Nazuka, Kaori', 'Shimoyama, Yoshimitsu', 'Okitsu, Kazuyuki', 'Han, Megumi', 'Hirohashi, Ryou']
animeStaff	[['Mankyuu', 'Script'], ['Tsukimisato, Tomohiro', 'Storyboard'], ['Takata, Masahiro', 'Storyboard'], ['Tomino, Yoshiyuki', 'Original Creator']]
