animeTitle	b'Kigyou Senshi Arslan'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	1255
animeRank	
animePopularity	
animeDescription	b'Short anime of Arslan Senki (TV) characters working in an office environment. \n\nThe first 3 episodes were released via NBCUniversal Anime/Music, and the remaining 3 episodes were released on October 5, 2016 when all 6 episodes were bundled in Volume 2 BD & DVD of Arslan Senki (TV): Fuujin Ranbu.'
animeRelated	[b'Arslan Senki (TV)', b'Arslan Senki (TV): Fuujin Ranbu']
animeCharacters	[b'Arslan', b'Daryun', b'Narsus', b'Gieve', b'Falangies', b'Elam', b'Kharlan']
animeVoices	[b'\nKobayashi, Yuusuke\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nKENN\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n']
animeStaff	[]
