animeTitle	Kitsune no Koe
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-05 00:00:00
endDate	2018-12-21 00:00:00
animeNumMembers	
animeScore	6.41
animeUsers	6737
animeRank	
animePopularity	4083
animeDescription	"The series follows 16-year-old Hu Li, who dreams of becoming a popular singer. However, he has neither good looks nor the financial means to pursue his dream, so Hu uploads his singing online using a fox avatar.

(Source: MAL News)"
animeRelated	['Hope']
animeCharacters	['Hu, Li', 'Tong, Chuyun', 'Kong, Que', 'Ji, Hetian', 'Kim', 'Xu, Er', 'Yu, Xin', 'Zhang, Yao', 'Hong, Ye']
animeVoices	['Kawanishi, Kengo', 'Kouri, Arisa', 'Suganuma, Hisayoshi', 'Hino, Satoshi', 'Hayami, Show', 'Maeda, Rena', 'Aoki, Shiki', 'Kimura, Subaru', 'Motoyoshi, Yukiko']
animeStaff	[['Ochi, Koujin', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Kano', 'Theme Song Performance'], ['Narita, Yoshimi', 'Series Composition']]
