animeTitle	b'Area 88'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.52
animeUsers	5368
animeRank	
animePopularity	
animeDescription	b'Shin Kazama, tricked and forced into flying for the remote country of Aslan, can only escape the hell of war by earning money for shooting down enemy planes or die trying. Through the course of the series, Shin must deal with the consequences of killing and friends dying around him as tries to keep his mind on freeing himself from this nightmare. \n\n(Source: ANN)\n'
animeRelated	[b'Area 88', b'Area 88 (TV)', b'Area 88 Movie']
animeCharacters	[b'Kazama, Shin', b'Simon, Micky', b'Kanzaki, Satoru', b'Mutsugi, Goh', b'Gates, Greg', b'Boris', b'McCoy', b'Vashtal, Saki', b'Van Com, Nguyen', b'Farina, Giuseppe']
animeVoices	[b'\nShiozawa, Kaneto\nJapanese\n', b'\nTomiyama, Kei\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nNakamura, Shuusei\nJapanese\n', b'\nKamiyama, Takuzou\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nKayumi, Iemasa\nJapanese\n', b'\nShigaki, Taro\nJapanese\n', b'\nOtsuka, Chikao\nJapanese\n', b'\nYanami, Jouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNunokawa, Yuuji\n\nProducer\n\n', b'\nToriumi, Hisayuki\n\nDirector\n\n', b'\nShiba, Shigeharu\n\nSound Director\n\n', b'\nBickham, Clint\n\nScript\n\n']
