animeTitle	Down Load: Namu Amida Butsu wa Ai no Uta
animeType	OVA
animeNumEpisode	1
releaseDate	1992-12-18 00:00:00
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	767
animeRank	
animePopularity	8949
animeDescription	An exciting cyberpunk romp directed by Rintaro with veteran animator Kanada Yoshinori about a genius hacker and a gang of hot-rodders.
animeRelated	[]
animeCharacters	"['Sid', 'Chief', 'Youko', 'Echigoya', 'Namiho', ""Youko's Father"", 'Pinky']"
animeVoices	['Seki, Toshihiko', 'Ishizuka, Unshou', 'Kakinuma, Shino', 'Katou, Seizou', 'Koyama, Mami', 'Kitamura, Kouichi', 'Futamata, Issei']
animeStaff	[['Rintaro', 'Director, Script, Screenplay'], ['Mima, Masafumi', 'Sound Director'], ['Kanada, Yoshinori', 'Character Design, Key Animation'], ['Yaginuma, Kazuyoshi', 'Key Animation']]
