animeTitle	b'Recorder to Randoseru Re\xe2\x99\xaa'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	15604
animeRank	
animePopularity	
animeDescription	b'Second season.'
animeRelated	[b'Recorder to Randoseru', b'Recorder to Randoseru Do\xe2\x99\xaa']
animeCharacters	[b'Miyagawa, Atsushi', b'Miyagawa, Atsumi', b'Takahashi, Sayo', b'Take-nii', b'Kijima', b'Jun-chan', b'Midori', b'Hina-chan', b'Moriyama, Futami', b'Miyagawa, Mother']
animeVoices	[b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nToujou, Sayako\nJapanese\n', b'\nKashiyama, Nanami\nJapanese\n', b'\nUchida, Aya\nJapanese\n', b'\nTamiyasu, Tomoe\nJapanese\n', b'\nSatou, Kanami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Hiroshi\n\nDirector\n\n', b'\nKawazoe, Kengo\n\nSound Director\n\n', b'\nHata, Yoshito\n\nStoryboard\n\n', b'\nToujou, Sayako\n\nTheme Song Performance\n\n']
