animeTitle	Dochinpira
animeType	OVA
animeNumEpisode	1
releaseDate	1993-08-27 00:00:00
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	333
animeRank	
animePopularity	11216
animeDescription	"Jin is one horny hunk, a twenty-two year old stud with lady killer looks. He's challenged by gorgeous Ai Mizushima to ""make me scream with pleasure"" it's a wager he can't refuse especially the when the prize is a brand new sports car.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Mizushima, Ai', 'Kaito, Jin', 'Okamoto', 'Ranko', 'Hazakura Boss', 'Beauty in kimono', 'Suzuki']
animeVoices	['Katsuki, Masako', 'Yamadera, Kouichi', 'Shimamura, Kaoru', 'Matsui, Naoko', 'Gouri, Daisuke', 'Kitou, Satoko', 'Horiuchi, Kenyuu']
animeStaff	[['Matsuoka, Hiroki', 'Sound Director'], ['Oota, Hiromitsu', 'Storyboard, 2nd Key Animation'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Kiyoyama, Shigetaka', 'Animation Director']]
