animeTitle	b'Toilet no Hanako-san'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	149
animeRank	
animePopularity	
animeDescription	b'A short movie based on Japanese urban legend.'
animeRelated	[b'Gakkou no Kowai Uwasa: Hanako-san ga Kita!!']
animeCharacters	[b'Hanako']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nDirector\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nMakaino, Kouji\n\nMusic\n\n', b'\nNakamura, Takashi\n\nArt Director\n\n']
