animeTitle	School Days: Valentine Days
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	27628
animeRank	
animePopularity	2519
animeDescription	"OVA that came with the PlayStation 2 game ""School Days L×H""

Makoto, Sekai, Kotonoha, and many other classmates all go to a hot springs hotel to relax, where they discuss what their plans are for the upcoming Valentine's Day. When the day actually comes, half a dozen girls fight over who gets to give chocolate to Makoto.

(Source: ANN)"
animeRelated	['School Days']
animeCharacters	['Katsura, Kotonoha', 'Itou, Makoto', 'Saionji, Sekai', 'Kiyoura, Setsuna', 'Katsura, Kokoro', 'Kato, Otome', 'Sawanaga, Taisuke', 'Kanroji, Nanami', 'Kuroda, Hikari', 'Saionji, Youko']
animeVoices	['Okajima, Tae', 'Hirakawa, Daisuke', 'Kawaragi, Shiho', 'Imoto, Kei', 'Ashiro, Megu', 'Nagami, Haruka', 'Matsumoto, Yoshirou', 'Takahashi, Chiaki', 'Tanaka, Ryouko']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Kuzuya, Naoyuki', 'Storyboard'], ['Hashimoto, Miyuki', 'Theme Song Performance']]
