animeTitle	b'Kuroshitsuji II Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	56224
animeRank	
animePopularity	
animeDescription	"b""According to the Kuroshitsuji website, there are 6 OVAs included in the DVD releases.\n\nDVD 2: Ciel in Wonderland (Part 1)\nThis re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story.\n\nDVD 3: Welcome to the Phantomhive's\nThis is meant to be like a simulation game. Elizabeth invites a lady (perhaps the viewer) to join her at a ball held at the Phantomhive mansion.\n\nDVD 5: The Making of Kuroshitsuji II\nThis is a Hollywood style documentary with behind the scenes interviews with Sebastian, Ciel, Claude and Alois etc.\n\nDVD 6: Ciel in Wonderland (Part 2)\nThis re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story.\n\nDVD 8: The Tale of William the Shinigami\nWilliam and Grell have to train new shinigami and reminisce about when they were training partners.\n\nDVD 9: The Spider's Intention\nThe life in Trancy household and how those work under Alois is caring for him."""
animeRelated	[b'Kuroshitsuji II']
animeCharacters	[b'Michaelis, Sebastian', b'Phantomhive, Ciel', b'Sutcliff, Grell', b'Undertaker', b'Trancy, Alois', b'Finnian', b'Mey-Rin', b'Midford, Elizabeth', b'Faustus, Claude', b'Spears, William T.']
animeVoices	[b'\nOno, Daisuke\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKajiura, Yuki\n\nTheme Song Composition\n\n', b'\nKalafina\n\nTheme Song Performance\n\n', b'\nthe GazettE\n\nTheme Song Arrangement, Theme Song Composition, Theme Song Performance\n\n', b'\nMatsushita, Yuya\n\nTheme Song Performance\n\n']
