animeTitle	b'Kakko Kawaii Sengen!'
animeType	b'TV'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	344
animeRank	
animePopularity	
animeDescription	"b""Shorts run during Shueisha's Saki-yomi Jum-Bang! television program starting on November 5, 2010. \n\n(Source: AniDB)"""
animeRelated	[b'Kakko Kawaii Sengen!', b'Kakko Kawaii Sengen! 2', b'Kakko Kawaii Sengen! Specials']
animeCharacters	[b'Aoya, Kaoru', b'Kao-chan']
animeVoices	[b'\nTaniyama, Kishou\nJapanese\n', b'\nHikasa, Youko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMankyuu\n\nDirector\n\n', b'\nJigoku no Misawa\n\nOriginal Creator\n\n']
