animeTitle	Bus Gamer
animeType	TV
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	14330
animeRank	
animePopularity	3543
animeDescription	"When three complete strangers, Mishiba Toki, Nakajyo Nobuto, and Saitoh Kazuo, are hired by a corporation to compete in the Bus Game, an illegal dog-fight conducted in strict secrecy, they are given the team code of ""Team AAA"" (Triple Anonymous). This group of three who differ entirely from their living environments to their personalities have to work together effectively, but without mutually wiping out their mistrust of each other or prying into each other's privacy. They only have one point in common—each of them need a large amount of money for their individual circumstances. To get the money, they must play in the game despite their very own lives being at stake.

(Source: ANN)"
animeRelated	['Bus Gamer: The Pilot Edition', 'Bus Gamer']
animeCharacters	['Mishiba, Toki', 'Nakajou, Nobuto', 'Saitou, Kazuo', 'Ichinomiya, Keiko']
animeVoices	['Suzumura, Kenichi', 'Suwabe, Junichi', 'Takahashi, Hiroki', 'Neya, Michiko']
animeStaff	[['Kuzuya, Naoyuki', 'Director, Storyboard'], ['Hata, Yoshito', 'Episode Director'], ['Suwabe, Junichi', 'Theme Song Performance'], ['Suzumura, Kenichi', 'Theme Song Performance']]
