animeTitle	Yuukai Anna
animeType	Movie
animeNumEpisode	1
releaseDate	2018-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	4.85
animeUsers	482
animeRank	
animePopularity	10510
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Professor', 'Anna']
animeVoices	['Morikawa, Toshiyuki', 'Takeda, Hana']
animeStaff	[['Satou, Kaichi', 'Director, Script, Planning'], ['Fukuda, Michio', 'Episode Director, Storyboard'], ['Necozawa, Emi', 'Music'], ['Ebihara, Akira', 'Original Character Design']]
