animeTitle	b'Kuroshitsuji'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.7
animeUsers	502072
animeRank	
animePopularity	
animeDescription	"b'Young Ciel Phantomhive is known as ""the Queen\'s Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?\n\nIn Ciel\'s past lies a secret tragedy that enveloped him in perennial darkness\xe2\x80\x94during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master\'s orders\xe2\x80\x94all the while anticipating the delicious meal he will eventually make of Ciel\'s soul. As the two work to unravel the mystery behind Ciel\'s chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kuroshitsuji', b'Kuroshitsuji Recap', b'Kuroshitsuji II', b'Kuroshitsuji: Book of Circus', b'Kuroshitsuji: Sono Shitsuji, Kougyou', b'Kuroshitsuji Picture Drama']
animeCharacters	[b'Michaelis, Sebastian', b'Phantomhive, Ciel', b'Sutcliff, Grell', b'Undertaker', b'Finnian', b'Mey-Rin', b'Midford, Elizabeth', b'Spears, William T.', b'Cainz, Drocell', b'Durless, Angelina']
animeVoices	[b'\nOno, Daisuke\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nKatsu, Anri\nJapanese\n', b'\nPark, Romi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinohara, Toshiya\n\nDirector\n\n', b'\nTsuda, Naokatsu\n\nEpisode Director\n\n', b'\nYoshimura, Ai\n\nEpisode Director, Storyboard\n\n', b'\nOgura, Hirofumi\n\nEpisode Director, Storyboard\n\n']
