animeTitle	Super Seisyun Brothers
animeType	TV
animeNumEpisode	14
releaseDate	2013-09-14 00:00:00
endDate	2013-12-14 00:00:00
animeNumMembers	
animeScore	6.75
animeUsers	13479
animeRank	
animePopularity	3293
animeDescription	"The story involves two pairs of teenage elder sister and younger brother, the Shinmoto's who are a bit narcissistic and the Saitou's who look a bit mysterious. It follows their everyday life in school and at home.

(Source: MAL News)
"
animeRelated	['SSB: Super Seishun Brothers']
animeCharacters	['Saitou, Mao', 'Saitou, Mako', 'Shinmoto, Chiko', 'Shinmoto, Chika', 'Umezono, Ui', 'Maruoka, Iori', 'Kohara, Shiyo']
animeVoices	['Ishikawa, Kaito', 'Kayano, Ai', 'Yamamoto, Nozomi', 'Oosaka, Ryouta', 'Uchida, Maaya', 'Yanagita, Junichi', 'Minase, Inori']
animeStaff	[['Takata, Masahiro', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Utsunomiya, Masamitsu', 'Episode Director'], ['Andou, Takashi', 'Episode Director, Storyboard']]
