animeTitle	Huyao Xiao Hongniang
animeType	ONA
animeNumEpisode	13
releaseDate	2015-06-26 00:00:00
endDate	2015-11-27 00:00:00
animeNumMembers	
animeScore	7.2
animeUsers	9046
animeRank	
animePopularity	2925
animeDescription	"True love never dies—even when it is between a human and a near-immortal youkai. Thankfully, fox spirit youkai have discovered a solution which allows a human to be reincarnated, and with the services of a Fox Spirit Matchmaker, eventually recall memories of their past life, so they can begin anew with their beloved youkai.

Enter Bai Yuechu—a powerful human Taoist who desires freedom from the ruling Yi Qi Dao League—and Tushan Susu, a small and innocent fox spirit who dreams of becoming a renowned matchmaker, despite her reputation as a colossal screw-up. After Susu literally falls through the roof and into his life, Yuechu gets dragged into helping her bring together two separated lovers: prince Fan Yun Fei and his reincarnated lover, Li Xueyang. However, not everyone wants them to be reunited, including Xueyang herself. Thrown together by fate, Yuechu and Susu will discover who they truly are... and who they used to be.

[Written by MAL Rewrite]"
animeRelated	['Xiangsishu Xia', 'Huyao Xiao Hongniang: Wangquan Fugui']
animeCharacters	['Tushan, Susu', 'Bai, Yuechu', 'Fan, Yunfei', 'Li, Xueyang', 'Tushan, Yaya', 'Tushan, Rongrong', 'Wang, Fugui']
animeVoices	['Asumi, Kana', 'Hatano, Wataru', 'Tachibana, Shinnosuke', 'Imai, Asami', 'Yonezawa, Madoka', 'Kanemoto, Hisako', 'Kirii, Daisuke']
animeStaff	[['Cider Girl', 'Theme Song Performance'], ['Berry Goodman', 'Theme Song Performance'], ['Lin, Heye', 'Theme Song Composition']]
