animeTitle	Present
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17536
animeDescription	An educational film about bullying. Ayaka gives a hand made picture from to Miyuki for her birthday. Miyuki likes expensive things and starts to hate Ayaka for the shabby gift, going so far as to have the class turn on Ayaka as well. The bullying continues to the point where Ayaka stops comming to school. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
