animeTitle	Aguu: Tensai Ningyou
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	1710
animeRank	
animePopularity	6370
animeDescription	"The series is about a missing genius whose mysterious disappearance becomes a shady secret among the successful members of society.

(source: MAL News)"
animeRelated	['Aguu: Tiencai Wanou']
animeCharacters	['Luo, Bu', 'Luo, Zheng', 'Ding', 'Ai', 'Ri, Hakumen', 'Ri, Juntei', 'Ou, Inin', 'Karurichi', 'Elbat']
animeVoices	['Shibasaki, Satoshi', 'Takagi, Wataru', 'Matsui, Eriko', 'Shibasaki, Noriko', 'Inoue, Kikuko', 'Mizuno, Risa', 'Uchida, Aya', 'Yasumoto, Hiroki']
animeStaff	[['Shirahata, Nobuo', 'Director'], ['Gouda, Hozumi', 'Sound Director'], ['Shibasaki, Noriko', 'Theme Song Performance'], ['Miyake, Masakazu', 'Art Director']]
