animeTitle	Slayers Return
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	9122
animeRank	
animePopularity	4178
animeDescription	"The inhabitants of the village of Biaz, forced to labor in the serivce of the world-domination-happy Zein organization, hires Lina Inverse and Naga The Serpent to drive off the invaders. Lina and Naga agree, lured by stories of Elfin treasure sleeping below Biaz, only to get considerably more trouble -from the Zein and from the treasure - than they ever expected. 

(Source: ANN)"
animeRelated	['Slayers: Super Explosive Demon Story', 'Slayers Original Movie Screenplay Book', 'Slayers: The Motion Picture', 'Slayers Great']
animeCharacters	"['Inverse, Lina', 'Saillune, Gracia Ul Naga', 'Saleena', 'Zahhard', 'Galev', 'Becker', 'Female Martial Arts Master', ""Saleena's father""]"
animeVoices	['Hayashibara, Megumi', 'Kawamura, Maria', 'Hiramatsu, Akiko', 'Yao, Kazuki', 'Utsumi, Kenji', 'Chafurin', 'Okamoto, Maya', 'Ootsuka, Akio']
animeStaff	[['Yuyama, Kunihiko', 'Director, Storyboard'], ['Watanabe, Hiroshi', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Hayashibara, Megumi', 'Theme Song Performance']]
