animeTitle	b'Papuwa'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	406
animeRank	
animePopularity	
animeDescription	"b'In this sequel series, events continue four years after they left off in the first series. Papuwa-kun is a mysterious boy who lives on a new tropical island full of the same crazy creatures. Along with his maid, Liquid, and his new amnestic friend, ""Rotarou"", they lead nonsensical adventures as they try to evade and confuse the Ganma Army, Special Corps, and even the Shinsengumi from discovering Rotarou\'s real secret and taking him away. \n\n(Source: ANN)'"
animeRelated	[b'Nangoku Shounen Papuwa-kun']
animeCharacters	[b'Liquid', b'Papuwa', b'Itou', b'Chappy', b'Kotaro', b'Shintaro', b'Arashiyama', b'Hijikata, Toshizou', b'Miyagi, Touhoku', b'Gustav']
animeVoices	[b'\nTakahashi, Hiroki\nJapanese\n', b'\nKumai, Motoko\nJapanese\n', b'\nMugihito\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nYusa, Kouji\nJapanese\n', b'\nOokawa, Tooru\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nNomura, Kenji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Hideo\n\nSound Director\n\n', b'\nInoue, Toshiki\n\nScript\n\n', b'\nIshibashi, Daisuke\n\nScript\n\n', b'\nShibata, Ami\n\nOriginal Creator\n\n']
