animeTitle	Zoku Naniwa Yuukyouden
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14942
animeDescription	"The Kinshu Group is back to their old antics in this mob comedy. Two new recruits join the gang and try to prove their worth. Things take a turn for the worse with the boss takes a bullet and is hospital ridden. What will happen to the gang as snakes begin to creep to break apart company as if the boss is dead?!

*Based on the same name manga by Dookuman Pro, a group of four manga artists. "
animeRelated	['Naniwa Yuukyouden', 'Naniwa Yuukyouden: Nekketsu!! Bakushou Mankai-hen']
animeCharacters	['Jinzou, Kintaro', 'Kaimon, Akimichi', 'Amachi, Ken', 'Kinoshita, Fujiyoshi', 'Narita, Michio']
animeVoices	['Yasuoka, Rikiya', 'Kawachiya, Kikusuimaru', 'Fukuda, Nobuaki', 'Tobita, Nobuo', 'Ogata, Kenichi']
animeStaff	[['Ochiai, Masamune', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Nagao, Hitoshi', 'Art Director'], ['Kogure, Teruo', 'Animation Director']]
