animeTitle	Soreyuke Marin-chan
animeType	OVA
animeNumEpisode	3
releaseDate	2001-12-14 00:00:00
endDate	2003-03-28 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	1181
animeRank	
animePopularity	8159
animeDescription	"This 3 part hentai bishoujo OVA series is about an evil doctor that tries to collect the sperm of 100 guys, and the woman, Marin, that tries to stop her evil sister from accomplishing this. Based on the hentai manga of the same name. 

""For the bright future of Japan, I shall take your semen!"""
animeRelated	['Soreyuke Marin-chan']
animeCharacters	['Narutaki, Narumi', 'Nonohara, Marin', 'Soichiro']
animeVoices	['Tachiki, Fumihiko', 'Asano, Ruri']
animeStaff	[['Oobari, Masami', 'Director'], ['Saitou, Miwako', 'Theme Song Lyrics']]
