animeTitle	Hell Target
animeType	OVA
animeNumEpisode	1
releaseDate	1987-01-21 00:00:00
endDate	
animeNumMembers	1831
animeScore	4.62
animeUsers	739
animeRank	11784
animePopularity	9681
animeDescription	"A spaceship is lost near the forbidden planet of Inferno II. Some years later, a second ship with a crew of nine gets there and encounters a monster that rapidly makes mince meat of most of them. The sole survivor, Makurou Kitazato, must destroy the monster before it can surprise a third ship that is already en route.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Makurou, Kitazato', 'Brown, Meryl', 'Treyanov, Euler', 'Fernandez, Rico', 'Krueger, Hans', 'Howard, Harry', 'Lee, Chang', 'Karmak, Tiki', 'Miaura, Jean']
animeVoices	['Murayama, Akira', 'Takashima, Gara', 'Chiba, Kouichi', 'Sawaki, Ikuya', 'Hori, Katsunosuke', 'Suzuoki, Hirotaka', 'Hiromori, Shingo', 'Shimamoto, Sumi', 'Shiozawa, Kaneto']
animeStaff	[['Matsuzaki, Kenichi', 'Producer, Script, Screenplay, Original Creator'], ['Nakamura, Keito', 'Director, Planning Producer, Planning'], ['Ikeda, Shigemi', 'Art Director'], ['Ookubo, Shuuichi', 'Background Art']]
