animeTitle	b'Gosick'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.08
animeUsers	194344
animeRank	
animePopularity	
animeDescription	"b'Kazuya Kujou is a foreign student at Saint Marguerite Academy, a luxurious boarding school in the Southern European country of Sauville. Originally from Japan, his jet-black hair and dark brown eyes cause his peers to shun him and give him the nickname ""Black Reaper,"" based on a popular urban legend about the traveler who brings death in the spring.\n\nOn a day like any other, Kujou visits the school\'s extravagant library in search of ghost stories. However, his focus soon changes as he becomes curious about a golden strand of hair on the stairs. The steps lead him to a large garden and a beautiful doll-like girl known as Victorique de Blois, whose complex and imaginative foresight allows her to predict their futures, now intertwined.\n\nWith more mysteries quickly developing\xe2\x80\x94including the appearance of a ghost ship and an alchemist with the power of transmutation\xe2\x80\x94Victorique and Kujou, bound by fate and their unique skills, have no choice but to rely on each other.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Gosick', b'Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru']
animeCharacters	[b'de Blois, Victorique', b'Kujou, Kazuya', b'Gallo, Cordelia', b'Roscoe, Brian', b'de Blois, Grevil', b'Lafitte, Cecile', b'Bradley, Avril', b'The Orphan', b'Leviathan', b'de Blois, Albert']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nOokawa, Tooru\nJapanese\n', b'\nKiuchi, Hidenobu\nJapanese\n', b'\nKano, Yui\nJapanese\n', b'\nShitaya, Noriko\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nSugou, Takayuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNanba, Hitoshi\n\nDirector, Storyboard\n\n', b'\nHaraguchi, Noboru\n\nSound Director\n\n', b'\nTamura, Koutarou\n\nEpisode Director, Storyboard\n\n', b'\nSueda, Yoshifumi\n\nEpisode Director\n\n']
