animeTitle	Doubutsu Takarajima
animeType	Movie
animeNumEpisode	1
releaseDate	1971-03-20 00:00:00
endDate	
animeNumMembers	1968
animeScore	6.36
animeUsers	723
animeRank	6861
animePopularity	9485
animeDescription	"Jim is working as an innkeeper, together with his friend, the mouse Gran. One day, a mysterious man visits the inn, leaving a map behind. The map shows an island with a treasure. So the duo sets off in their own little boat, trying to fulfil their dreams and leaving the inn far behind. But it seems more people knows of the map, as they cross paths with Captain Silver and his band of wild pirates. Jim, Gran and their new friend Kathy tries to beat them in the treasure hunt that ensues.

(Source ANN)"
animeRelated	['Dobutsu Takarajima']
animeCharacters	['Kathy']
animeVoices	['Amachi, Fusako']
animeStaff	[['Ikeda, Hiroshi', 'Director'], ['Miyazaki, Hayao', 'Key Animation'], ['Ebisawa, Kazuo', 'Background Art'], ['Stevenson, Robert Louis', 'Original Creator']]
