animeTitle	Mori no Senshi Bonolon
animeType	TV
animeNumEpisode	26
releaseDate	2007-11-05 00:00:00
endDate	2008-05-17 00:00:00
animeNumMembers	206
animeScore	
animeUsers	
animeRank	12155
animePopularity	15968
animeDescription	"Bonolon is touted as the warrior who comes from the forest of the great oaks. Despite his huge body size and outwardly orange appearance, Bonolon is only a child of 9 years old. 

However, notwithstanding his tender age, Bonolon possess a strong sense of justice and strives to become a reliable man. The tears of those people who are depressed or troubled will flow through the roots of the great oaks and communicates their feelings to Bonolon. Bonolon will then appear from the great oaks and help the people solve their problems as well as grant their wishes.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Bonolon']
animeVoices	['Itou, Kazue']
animeStaff	[['Ueda, Hidehito', 'Director'], ['Katou, Tomonari', 'Director'], ['Hara, Tetsuo', 'Planning'], ['Kawasuji, Yutaka', 'Character Design']]
