animeTitle	b'Mole Zhuang Yuan'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Mole Zhuang Yuan: Bing Shi Ji', b'Mole Zhuang Yuan: Shiqian Ji', b'Mole Zhuang Yuan: Zhou Bo Ju', b'Mole Zhuang Yuan 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
