animeTitle	Dragon Half
animeType	OVA
animeNumEpisode	2
releaseDate	1993-03-26 00:00:00
endDate	1993-05-28 00:00:00
animeNumMembers	18308
animeScore	6.85
animeUsers	10164
animeRank	4415
animePopularity	4155
animeDescription	"Mink is no ordinary teenage girl, being half-human and half-dragon. Her father had fallen in love with a red dragon he intended to kill, and instead of slaying the dragon, he married her. Their union gave birth to Mink, who inherited horns, a tail, retractable wings, and incredible strength—characteristics which signify her dragon half nature. 

Mink spends her days accompanied by her friend Pia, a dwarf girl with overprotective parents, and her best friend Lufa, an elf with great healing powers but impressively bad magic. The three find themselves mooning over the dreamy and charming dragonslayer, Dick Saucer. But in a sudden, absurd turn of events, Mink gets closer than ever to the object of her fantasies, only to realize that her love may never be reciprocated because of her dragon heritage.

Thus, the trio sets out on a quest to find a potion that will make Mink fully human. They may unwittingly make enemies, but they are sure to have one heck of a good time.

[Written by MAL Rewrite]"
animeRelated	['Dragon Half']
animeCharacters	['Mink', 'Lufa', 'Pia', 'Damaramu', 'Saucer, Dick', 'Vena', 'Rouce the Red Lightning', 'Rosario', 'King Siva', 'Minotaurus']
animeVoices	['Mitsuishi, Kotono', 'Kouda, Mariko', 'Kawata, Taeko', 'Ootsuka, Akio', 'Matsumoto, Yasunori', 'Sakuma, Rei', 'Aono, Takeshi', 'Shiozawa, Kaneto', 'Ogata, Kenichi', 'Tomita, Kousuke']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer'], ['Sasaki, Shirou', 'Producer'], ['Sadamitsu, Shinya', 'Director, Episode Director, Script, Storyboard'], ['Mitsuishi, Kotono', 'Theme Song Performance']]
