animeTitle	b'Suki na Mono wa Suki Dakara Shou ga Nai!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	21266
animeRank	
animePopularity	
animeDescription	b'Hashiba Sora has fallen from a 4th story window and has lost all of his memories. When Fujimori Sunao comes to his school as his new room mate, Fujimori tells Hashiba that he is called Ran. Fujimori and Hashiba both have a split personality which they developed in their youth. Their split personalities, Yoru and Ran, are deeply in love. Even though it creeps Fujimori and Hashiba out what their other selves do with each other at night, they also start to fall for each other. Because of their relationship, Hashiba Sora finds out a lot of shocking facts about their youth.'
animeRelated	[b'Suki na Mono wa Suki dakara Shouganai!!', b'Suki na Mono wa Suki Dakara Shou ga Nai!!: Onsen ni Ikou!']
animeCharacters	[b'Fujimori, Sunao', b'Hashiba, Sora', b'Honjou, Matsuri', b'Nanami, Kai', b'Minato, Shinichirou', b'Ichikawa, Gaku', b'Nagase, Kai', b'Sakura, Hiromu', b'Kozuki, Kano', b'Kozuki, Ryouya']
animeVoices	[b'\nHoshi, Souichirou\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nChiba, Susumu\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKisaichi, Atsushi\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nYamazaki, Michiru\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyazaki, Nagisa\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nKon, Chiaki\n\nEpisode Director, Storyboard\n\n', b'\nYamamoto, Miyuki\n\nEpisode Director, Storyboard\n\n']
