animeTitle	b'MILPOM\xe2\x98\x85'
animeType	b'ONA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.09
animeUsers	338
animeRank	
animePopularity	
animeDescription	b'The story takes place in a certain ordinary town where it is natural for everyone to wear an animal costume head. It depicts the everyday life of the main character MILPOM and her friends who live there, filled with the essence of Kawaii and a little bit cynical girls.\n\n(Source: Crunchyroll)'
animeRelated	[b'MILPOM\xe2\x98\x85 Pilot']
animeCharacters	[b'Cacao', b'Happy', b'Milpom', b'Silky']
animeVoices	[b'\nYano, Anna\nJapanese\n', b'\nShiina, Hikari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMieno, Hitomi\n\nSeries Composition\n\n', b'\nMiyata, Keiko\n\nCharacter Design\n\n']
