animeTitle	b'Abashiri Ikka'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	1453
animeRank	
animePopularity	
animeDescription	"b""For decades, the Abashiri family has been one of the most powerful and feared crime families in the world. Led by the frightening Daemon Abashiri, the family prepares to perform their final, greatest heist. As the family makes their assault on a large bank, Daemon reveals that his youngest child, Kikunosuke Abashiri, is actually the first daughter born to the family in 18 generations\xe2\x80\x94which is why he wants to end their life of crime.\n\nMuch to Kikunosuke's displeasure, her father has arranged for her to study at the elite Paradise Academy, hoping that the school will shape her into a proper lady. However, when she arrives, she finds that the place is even more brutal than the life of crime she just left! How does Kikunosuke intend to survive in a school full of teachers who are hell-bent on killing their students?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Abashiri Ikka', b'Akai Hayate', b'Yumemakura Baku Twilight Gekijou', b'Eguchi Hisashi no Kotobuki Gorou Show']
animeCharacters	[b'Abashiri, Kikunosuke', b'Abashiri, Daemon', b'Abashiri, Kichiza', b'Mademoiselle Honey', b'Abashiri, Goemon', b'Abashiri, Naojiro', b'Biniku', b'Namakubi, Danjuro', b'Bank owner', b'Leader']
animeVoices	[b'\nTonguu, Kyouko\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nMatsuno, Taiki\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nKawakubo, Kiyoshi\nJapanese\n', b'\nNaya, Rokurou\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGreenfield, Matt\n\nProducer\n\n', b'\nWatanabe, Takashi\n\nDirector, Script, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nAwai, Shigeki\n\nEpisode Director, Assistant Director, Character Design\n\n']
