animeTitle	Vampire
animeType	OVA
animeNumEpisode	2
releaseDate	2011-09-16 00:00:00
endDate	2012-01-20 00:00:00
animeNumMembers	5771
animeScore	6.55
animeUsers	2099
animeRank	
animePopularity	6625
animeDescription	"Yuuto Akiyama, a butler with ancient powers, begins serving a household of busty vampires! Yuuto must satisfy these women, and figure out the secret of the strange house.
"
animeRelated	[]
animeCharacters	['Akiyama, Yuuto', 'Hanyuu, Mizuki', 'Ijuin, Serena', 'Kurisu, Harumi ', 'Ijuin, Marie', 'Ijuin, Retsudou']
animeVoices	[]
animeStaff	[['Tsubone, Kentarou', 'Editing']]
