animeTitle	Jintian Kaishi Zuo Mingxing
animeType	ONA
animeNumEpisode	13
releaseDate	2019-12-27 00:00:00
endDate	2020-03-20 00:00:00
animeNumMembers	
animeScore	6.96
animeUsers	410
animeRank	
animePopularity	10307
animeDescription	"Qin Ze is a young man who has just entered university. From an early age he excels in singing but following a trauma, he is no longer able to sing in public.

However one day, his twin sister Qin Ya, a popular singer, will change his fate by asking him to replace her.

(Source: Nautiljon)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
