animeTitle	Beat Shot!!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.96
animeUsers	239
animeRank	
animePopularity	11330
animeDescription	"Expert linksman Akihiko joins the university golf club at the same time as maverick golfer Akikazu. The pair often tee off against each other, though Akikazu is distracted by the charms of his opponent's beautiful caddy, Misako.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Hanamatsuri, Akihiko', 'Sasuga, Kyouichi']
animeVoices	['Seki, Toshihiko', 'Horiuchi, Kenyuu']
animeStaff	[['Kamata, Hidemi', 'Script'], ['Ikezawa, Satoshi', 'Original Creator'], ['Takatou, Kazushige', 'Art Director'], ['Okaseko, Nobuhiro', 'Animation Director']]
