animeTitle	Toaru Kagaku no Railgun: Motto Marutto Railgun
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	19640
animeRank	
animePopularity	2698
animeDescription	Toaru Kagaku no Railgun specials that were released on the 1st and 5th Blu-ray and DVD volumes.
animeRelated	['Toaru Kagaku no Railgun']
animeCharacters	['Misaka, Mikoto', 'Shirai, Kuroko', 'Saten, Ruiko', 'Uiharu, Kazari', 'Kiyama, Harumi', 'Kongou, Mitsuko', 'Tsukuyomi, Komoe', 'Yomikawa, Aiho', 'Tessou, Tsuzuri', 'Ryoukan']
animeVoices	['Satou, Rina', 'Arai, Satomi', 'Itou, Kanae', 'Toyosaki, Aki', 'Tanaka, Atsuko', 'Kotobuki, Minako', 'Koyama, Kimiko', 'Kaida, Yuuko', 'Endou, Aya', 'Nabatame, Hitomi']
animeStaff	[['Kamachi, Kazuma', 'Original Creator'], ['Haimura, Kiyotaka', 'Original Character Design'], ['Fuyukawa, Motoi', 'Creator'], ['Tanaka, Yuuichi', 'Character Design']]
