animeTitle	Luotuo Xian Wu
animeType	Movie
animeNumEpisode	1
releaseDate	1935-01-01 00:00:00
endDate	
animeNumMembers	38
animeScore	
animeUsers	
animeRank	17101
animePopularity	18420
animeDescription	"This animation was inspired by Aesop's Fables. It is about about a camel who thinks he is clever and shows his awkward dancing in front of other animals.

(Source: https://jouz.myblog.arts.ac.uk/, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
