animeTitle	Youshou
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	494
animeRank	
animePopularity	9831
animeDescription	"Justice has never been so naked!

A super-secret cult of lesbians performs erotic experiments on bodies from the local hospital! Their purpose: to revive the spirit of their ancient leader in a virile human form. Now it's up to the Midnight Strike Force, a team of busty justice fighters, to go undercover (and under the covers) to stop the nefarious acolytes before they succeed in their diabolically dirty schemes! 

(Source: Critical Mass Video)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
