animeTitle	Nurse Angel Ririka SOS
animeType	TV
animeNumEpisode	35
releaseDate	1995-07-07 00:00:00
endDate	1996-03-29 00:00:00
animeNumMembers	
animeScore	6.81
animeUsers	599
animeRank	
animePopularity	8066
animeDescription	"The Evil Forces of Dark Joker are closing in on our planet after having destroyed the beautiful planet of Queen Earth. Now, 10 year old Moriya Ririka, with the help of her childhood friend Seiya and the mysterious Kanon, must transform into the Nurse Angel and find the elusive Flower of Life, the only way to defeat the evil forces. The Flower of Life, that once bloomed all over the Earth, is where no one thought it ever would be. And Ririka must make the hardest decision of her life in order to acquire it and rid the universe of evil once and for all. 

(Source: ANN)"
animeRelated	['Nurse Angel Ririka SOS']
animeCharacters	['Moriya, Ririka', 'Uzaki, Seiya', 'Nozomu, Kanou', 'Dewey', 'Kazami, Anna', 'Kuwano, Miyuki', 'Buros', 'Helena', 'Mimina', 'Mizuhara, Karin']
animeVoices	['Asou, Kaori', 'Ishida, Akira', 'Kikuchi, Hidehiro', 'Fuchizaki, Yuriko', 'Nakao, Azusa', 'Matsuoka, Emiko', 'Horikawa, Ryo', 'Amano, Yuri', 'Namiki, Noriko', 'Suzuki, Kaori']
animeStaff	[['Daichi, Akitarou', 'Director, Episode Director, Script, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Sakurai, Hiroaki', 'Episode Director, Storyboard'], ['Sugishima, Kunihisa', 'Episode Director, Storyboard']]
